nombre,precio,tienda,nombre_original
FIGURAS NEGRAS (TKPB25 - NOBLEZA Y PODER),3000,Pandora Store,FIGURAS NEGRAS (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
DUMBARTON (TKPB25 - NOBLEZA Y PODER),3000,Pandora Store,DUMBARTON (TKPB25 - NOBLEZA Y PODER) - SINGLES MITOS Y LEYENDAS
GAITAS (TKPB23 - DRAGON DORADO),3000,Pandora Store,GAITAS (TKPB23 - DRAGON DORADO) - SINGLES MITOS Y LEYENDAS
CONAND (HD ANIVERSARIO - MR),3000,Pandora Store,CONAND (HD ANIVERSARIO - MR)
CONLA (HD ANIVERSARIO - MR),3000,Pandora Store,CONLA (HD ANIVERSARIO - MR)
OGHAM (HD ANIVERSARIO - MR),3000,Pandora Store,OGHAM (HD ANIVERSARIO - MR)
FRAGARACH (HD ANIVERSARIO - MR),3000,Pandora Store,FRAGARACH (HD ANIVERSARIO - MR)
GRUAGASH (HD ANIVERSARIO - MR),3000,Pandora Store,GRUAGASH (HD ANIVERSARIO - MR)
FRAGARACH UR,2990,Pandora Store,FRAGARACH UR - SINGLES MITOS Y LEYENDAS
FRAGARACH PROMO,2990,Pandora Store,FRAGARACH PROMO - SINGLES MITOS Y LEYENDAS
GOBLIN MALIGNO,2990,Pandora Store,GOBLIN MALIGNO - SINGLES MITOS Y LEYENDAS
LA TRAICION DE MACALPIN UR,2990,Pandora Store,LA TRAICION DE MACALPIN UR - SINGLES MITOS Y LEYENDAS
ZELUS,2990,Pandora Store,ZELUS - SINGLES MITOS Y LEYENDAS
AINE UR,2990,Pandora Store,AINE UR - SINGLES MITOS Y LEYENDAS
DRAIG IFANC BUY A BOX,2990,Pandora Store,DRAIG IFANC BUY A BOX - SINGLES MITOS Y LEYENDAS
GAIA FULL ART,2990,Pandora Store,GAIA FULL ART - SINGLES MITOS Y LEYENDAS
ATLANTE FULL ART,2990,Pandora Store,ATLANTE FULL ART - SINGLES MITOS Y LEYENDAS
ALAS DE DRUIDA,2990,Pandora Store,ALAS DE DRUIDA - SINGLES MITOS Y LEYENDAS
RITO DE ATON COLECCIONISTA,2990,Pandora Store,RITO DE ATON COLECCIONISTA - SINGLES MITOS Y LEYENDAS
BOLA DE FUEGO LOOTBOX,2990,Pandora Store,BOLA DE FUEGO LOOTBOX - SINGLES MITOS Y LEYENDAS
TARTARO REWORK,2990,Pandora Store,TARTARO REWORK - SINGLES MITOS Y LEYENDAS
"POSEIDON, REY DEL MAR",2990,Pandora Store,"POSEIDON, REY DEL MAR - SINGLES MITOS Y LEYENDAS"
CAMINO HACIA ATENAS,2990,Pandora Store,CAMINO HACIA ATENAS - SINGLES MITOS Y LEYENDAS
LABERINTO DE CRETA,2990,Pandora Store,LABERINTO DE CRETA - SINGLES MITOS Y LEYENDAS
LUGH FOIL DORADO,2990,Pandora Store,LUGH FOIL DORADO - SINGLES MITOS Y LEYENDAS
PURIFICAR EL REINO,2990,Pandora Store,PURIFICAR EL REINO - SINGLES MITOS Y LEYENDAS
CONAND ANIVERSARIO,2990,Pandora Store,CONAND ANIVERSARIO - SINGLES MITOS Y LEYENDAS
ASHRAYS SHOGUN,2990,Pandora Store,ASHRAYS SHOGUN - SINGLES MITOS Y LEYENDAS
PANDEMONIUM INFERNO,2990,Pandora Store,PANDEMONIUM INFERNO - SINGLES MITOS Y LEYENDAS
DEMONIOS VOLADORES INFERNO,2990,Pandora Store,DEMONIOS VOLADORES INFERNO - SINGLES MITOS Y LEYENDAS
SLAINE FOIL DORADO,2990,Pandora Store,SLAINE FOIL DORADO - SINGLES MITOS Y LEYENDAS
SLAUGH,2990,Pandora Store,SLAUGH - SINGLES MITOS Y LEYENDAS
ACEITE DE OLIVA TOOLKIT,2990,Pandora Store,ACEITE DE OLIVA TOOLKIT - SINGLES MITOS Y LEYENDAS
MANZANAS DE LA VIDA,2990,Pandora Store,MANZANAS DE LA VIDA - SINGLES MITOS Y LEYENDAS
ELLEN TRECHEND,2990,Pandora Store,ELLEN TRECHEND - SINGLES MITOS Y LEYENDAS
CANTOBELE LBPB2024,2990,Pandora Store,CANTOBELE LBPB2024 - SINGLES MITOS Y LEYENDAS
GOBLIN MALIGNO LLUVIA,2990,Pandora Store,GOBLIN MALIGNO LLUVIA - SINGLES MITOS Y LEYENDAS
ACEITE DE OLIVA SHOGUN,2990,Pandora Store,ACEITE DE OLIVA SHOGUN - SINGLES MITOS Y LEYENDAS
CATURIX (LBPB24 - FOIL LLUVIA),2990,Pandora Store,CATURIX (LBPB24 - FOIL LLUVIA) - SINGLES MITOS Y LEYENDAS
RHIANNON (CRPB2 - DESAFIANTE),2990,Pandora Store,RHIANNON (CRPB2 - DESAFIANTE) - SINGLES MITOS Y LEYENDAS
FIESTA DE OPET (LBPB24),2990,Pandora Store,FIESTA DE OPET (LBPB24) - SINGLES MITOS Y LEYENDAS
APLASTAR FOMOR (LBPB24 - FOIL LLUVIA),2990,Pandora Store,APLASTAR FOMOR (LBPB24 - FOIL LLUVIA) - SINGLES MITOS Y LEYENDAS
MORGANA (CLESP) COLECCIÓN LEGENDARIA SECRETA,2990,Pandora Store,MORGANA (CLESP) COLECCIÓN LEGENDARIA SECRETA
AINE (CLESP) COLECCIÓN LEGENDARIA SECRETA,2990,Pandora Store,AINE (CLESP) COLECCIÓN LEGENDARIA SECRETA
PRYDERI (CLESP) COLECCIÓN LEGENDARIA SECRETA,2990,Pandora Store,PRYDERI (CLESP) COLECCIÓN LEGENDARIA SECRETA
OENGUS (CLESP) COLECCIÓN LEGENDARIA SECRETA,2990,Pandora Store,OENGUS (CLESP) COLECCIÓN LEGENDARIA SECRETA
OGHAM (CLESP) COLECCIÓN LEGENDARIA SECRETA,2990,Pandora Store,OGHAM (CLESP) COLECCIÓN LEGENDARIA SECRETA
PTAH (CLESP) COLECCIÓN LEGENDARIA SECRETA,2990,Pandora Store,PTAH (CLESP) COLECCIÓN LEGENDARIA SECRETA
ATON (CLESP) COLECCIÓN LEGENDARIA SECRETA,2990,Pandora Store,ATON (CLESP) COLECCIÓN LEGENDARIA SECRETA
RITO DE ATON (CLESP) COLECCIÓN LEGENDARIA SECRETA,2990,Pandora Store,RITO DE ATON (CLESP) COLECCIÓN LEGENDARIA SECRETA
TRAICION DE BRUTO,2500,Pandora Store,TRAICION DE BRUTO - SINGLES MITOS Y LEYENDAS
NIAMH,2500,Pandora Store,NIAMH - SINGLES MITOS Y LEYENDAS
IRGOLL LLUVIA,2500,Pandora Store,IRGOLL LLUVIA - SINGLES MITOS Y LEYENDAS
REGRESAR EL DIOS (TKPB25 - JUICIO Y VISIÓN),2500,Pandora Store,REGRESAR EL DIOS (TKPB25 - JUICIO Y VISIÓN) - SINGLES MITOS Y LEYENDAS
SIR GALEHAUT (LBPB24 - ARTE ALTERNATIVO),2500,Pandora Store,SIR GALEHAUT (LBPB24 - ARTE ALTERNATIVO) - SINGLES MITOS Y LEYENDAS
PTAH (LBPB24 - FOIL LLUVIA),2500,Pandora Store,PTAH (LBPB24 - FOIL LLUVIA) - SINGLES MITOS Y LEYENDAS
INVOCAR CHACALES UR,2490,Pandora Store,INVOCAR CHACALES UR - SINGLES MITOS Y LEYENDAS
GOBLIN STONE,2490,Pandora Store,GOBLIN STONE - SINGLES MITOS Y LEYENDAS
MARTILLO PESADO TOOLKIT,2490,Pandora Store,MARTILLO PESADO TOOLKIT - SINGLES MITOS Y LEYENDAS
PAPIRO DE LAHUN,2490,Pandora Store,PAPIRO DE LAHUN - SINGLES MITOS Y LEYENDAS
AVALON SECRETA PROMO,2490,Pandora Store,AVALON SECRETA PROMO - SINGLES MITOS Y LEYENDAS
RELAMPAGO ARCANO MR 3.0,2490,Pandora Store,RELAMPAGO ARCANO MR 3.0 - SINGLES MITOS Y LEYENDAS
NEHEBAKU,2490,Pandora Store,NEHEBAKU - SINGLES MITOS Y LEYENDAS
MEDUSA,2490,Pandora Store,MEDUSA - SINGLES MITOS Y LEYENDAS
AINE ANIVERSARIO,2490,Pandora Store,AINE ANIVERSARIO - SINGLES MITOS Y LEYENDAS
PRINCIPE GOBLIN,2490,Pandora Store,PRINCIPE GOBLIN - SINGLES MITOS Y LEYENDAS
DRÁCULA (KIT DRÁCULA),2490,Pandora Store,DRÁCULA (KIT DRÁCULA) - SINGLES MITOS Y LEYENDAS
